Time UTC,"('Freq',)","('dFdt',)","('STAT',)","('I', 'IA:Ambridge Farm', 'Ang')","('I', 'IA:Ambridge Farm', 'Mag')","('I', 'IB:Ambridge Farm', 'Ang')","('I', 'IB:Ambridge Farm', 'Mag')","('I', 'IC:Ambridge Farm', 'Ang')","('I', 'IC:Ambridge Farm', 'Mag')","('I', 'IPPS:Ambridge Fa', 'Ang')","('I', 'IPPS:Ambridge Fa', 'Mag')","('V', 'VA:Ambridge Farm', 'Ang')","('V', 'VA:Ambridge Farm', 'Mag')","('V', 'VB:Ambridge Farm', 'Ang')","('V', 'VB:Ambridge Farm', 'Mag')","('V', 'VC:Ambridge Farm', 'Ang')","('V', 'VC:Ambridge Farm', 'Mag')","('V', 'VPPS:Ambridge Fa', 'Ang')","('V', 'VPPS:Ambridge Fa', 'Mag')"
1489082611.86,50.054,0.01,0.0,-2.35618,0.309444,-1.57079,1.09405,-2.35618,0.309444,-1.57079,0.21881,0.194316,125340.7,2.28129,125483.5,-1.92393,124659.4,0.716121,794.9651
1489082611.88,50.054,0.01,0.0,-1.89254,0.691938,-1.40564,1.330969,-2.35618,0.618888,-1.57079,0.21881,0.201113,125329.3,2.287804,125476.8,-1.91728,124649.1,0.740162,787.3897
1489082611.9,50.053,0.0,0.0,-1.57079,0.65643,-1.40564,1.330969,-2.35618,0.618888,-1.10714,0.489274,0.207818,125335.2,2.294315,125468.9,-1.91054,124645.6,0.752623,790.2456
1489082611.92,50.053,-0.00999,0.0,-2.35618,0.618888,-1.57079,1.09405,-1.57079,0.43762,-1.57079,0.21881,0.214992,125312.8,2.301637,125489.9,-1.90342,124660.3,0.756361,780.4393
1489082611.94,50.053,-0.00999,0.0,-1.89254,0.691938,-1.37339,1.115716,-2.35618,0.618888,-1.57079,0.21881,0.221086,125336.7,2.307878,125462.6,-1.89722,124642.7,0.756835,793.3818
1489082611.96,50.053,-0.00999,0.0,-2.35618,0.618888,-1.24904,1.383876,-1.81576,0.902177,0.0,0.0,0.228406,125349.2,2.314969,125506.9,-1.89011,124650.4,0.760813,790.06
1489082611.98,50.054,0.0,0.0,-1.89254,0.691938,-1.57079,0.65643,-2.35618,0.618888,-1.57079,0.21881,0.235146,125336.9,2.321724,125481.3,-1.88371,124659.2,0.777398,809.2689
1489082612.0,50.054,0.01,0.0,-1.57079,0.43762,-1.57079,1.09405,-2.35618,0.309444,-1.10714,0.489274,0.242676,125350.1,2.329309,125471.5,-1.87597,124672.9,0.789414,806.0126
1489082612.02,50.054,0.01,0.0,-1.57079,0.65643,-1.29249,1.592961,-2.15879,0.788931,0.0,0.21881,0.248921,125315.2,2.335915,125471.4,-1.86938,124661.8,0.781283,786.5909
1489082612.04,50.054,0.01,0.0,-1.89254,0.691938,-1.40564,1.330969,0.0,0.0,-1.10714,0.489274,0.256564,125359.3,2.342832,125489.2,-1.86263,124626.1,0.793272,822.2164
1489082612.06,50.054,0.01,0.0,-1.89254,0.691938,-1.57079,0.87524,-2.35618,0.618888,-1.57079,0.21881,0.262,125307.9,2.349177,125474.6,-1.85603,124663.6,0.785398,783.3473
1489082612.08,50.053,-0.00999,0.0,-1.57079,0.43762,-1.40564,1.330969,-2.35618,0.618888,0.0,0.21881,0.268849,125361.0,2.35524,125455.4,-1.84956,124634.8,0.809587,803.004
1489082612.1,50.052,-0.01999,0.0,-2.35618,0.309444,-1.37339,1.115716,-2.15879,0.788931,0.0,0.0,0.276222,125319.9,2.362723,125451.5,-1.84228,124611.9,0.817907,796.7161
1489082612.12,50.052,-0.01999,0.0,-1.10714,0.489274,-1.10714,1.467822,-1.89254,0.691938,0.0,0.21881,0.283547,125340.8,2.370101,125467.5,-1.83499,124637.8,0.825699,803.4215
1489082612.14,50.052,-0.01999,0.0,-2.03443,0.489274,-1.57079,1.09405,-2.35618,0.309444,-1.57079,0.21881,0.290324,125357.6,2.376983,125511.6,-1.82814,124660.9,0.818173,790.2456
1489082612.16,50.053,-0.00999,0.0,-1.89254,0.691938,-1.57079,0.87524,-2.03443,0.489274,-1.57079,0.21881,0.297277,125353.5,2.383719,125496.4,-1.82124,124655.5,0.834539,790.7758
1489082612.18,50.054,0.01,0.0,-1.57079,0.43762,-1.57079,1.09405,-2.35618,0.309444,-0.78539,0.309444,0.303916,125328.6,2.390566,125467.9,-1.81462,124635.9,0.837981,800.6388
1489082612.2,50.054,0.02,0.0,-2.15879,0.788931,-1.57079,0.87524,-2.03443,0.489274,-1.57079,0.21881,0.31071,125354.0,2.397351,125483.9,-1.80773,124656.5,0.842247,797.5836
1489082612.22,50.054,0.02,0.0,-1.32581,0.902177,-1.40564,1.330969,-2.03443,0.489274,-0.78539,0.309444,0.317627,125322.8,2.404175,125463.8,-1.8009,124614.1,0.850878,791.5175
1489082612.24,50.054,0.02,0.0,-1.10714,0.489274,-1.03037,1.275871,-1.81576,0.902177,0.0,0.21881,0.324014,125352.5,2.410754,125483.4,-1.79456,124638.3,0.849825,804.4381
1489082612.26,50.054,0.01,0.0,-1.57079,0.87524,-1.19028,1.178328,-1.89254,0.691938,-1.57079,0.21881,0.330934,125318.3,2.417432,125460.7,-1.78786,124620.0,0.873876,805.9216
1489082612.28,50.055,0.01,0.0,-1.57079,0.65643,-1.57079,0.87524,-2.03443,0.489274,-1.57079,0.21881,0.338661,125335.3,2.424794,125472.1,-1.78034,124618.5,0.886269,803.6171
1489082612.3,50.055,0.01,0.0,-1.81576,0.902177,-1.37339,1.115716,-1.57079,0.43762,-1.57079,0.21881,0.345051,125323.9,2.431411,125479.9,-1.77381,124644.5,0.895159,797.8595
1489082612.32,50.054,0.0,0.0,-1.57079,0.87524,-0.92729,1.09405,-1.10714,0.489274,-1.57079,0.21881,0.35131,125243.3,2.438389,125454.8,-1.76658,124593.3,0.870661,760.2131
1489082612.34,50.054,0.0,0.0,-2.03443,0.489274,-1.19028,1.178328,-1.57079,0.65643,-1.57079,0.21881,0.358343,125315.9,2.444878,125433.6,-1.75965,124574.3,0.885899,774.3065
1489082612.36,50.052,-0.01999,0.0,-1.57079,0.43762,-1.40564,1.330969,-2.03443,0.489274,0.0,0.21881,0.364386,125190.9,2.451533,125406.6,-1.75377,124501.9,0.861522,766.1442
1489082612.38,50.051,-0.03999,0.0,-1.81576,0.902177,-1.19028,1.178328,-1.57079,0.65643,-1.57079,0.21881,0.371819,125245.6,2.458865,125416.6,-1.74589,124580.1,0.896055,762.1128
1489082612.4,50.051,-0.03999,0.0,-2.35618,0.309444,-1.37339,1.115716,-2.35618,0.309444,-1.57079,0.21881,0.377995,125254.9,2.465142,125451.4,-1.7395,124562.7,0.88076,747.9017
1489082612.42,50.052,-0.01999,0.0,-1.24904,0.691938,-1.57079,0.87524,-2.03443,0.489274,-0.78539,0.309444,0.385162,125255.0,2.472317,125442.3,-1.73243,124583.0,0.897001,755.6788
1489082612.44,50.054,0.0,0.0,-1.57079,0.65643,-1.03037,1.275871,-1.81576,0.902177,0.0,0.0,0.393014,125257.5,2.478663,125358.4,-1.72502,124561.0,0.984444,769.4059
1489082612.46,50.055,0.03,0.0,-2.03443,0.489274,-1.10714,1.467822,-2.15879,0.788931,0.0,0.0,0.399843,125253.3,2.484907,125411.6,-1.71886,124583.1,1.014085,771.0519
1489082612.48,50.056,0.05,0.0,-1.57079,0.43762,-1.57079,0.87524,-2.03443,0.489274,-1.57079,0.21881,0.40721,125249.0,2.492638,125413.5,-1.71123,124597.7,1.021108,762.3465
1489082612.5,50.057,0.06,0.0,-1.10714,0.489274,-1.24904,0.691938,-2.03443,0.489274,-1.57079,0.21881,0.413635,125269.7,2.498968,125394.3,-1.70474,124596.9,1.027319,770.1681
1489082612.52,50.057,0.05,0.0,-1.81576,0.902177,-1.24904,1.383876,-2.03443,0.489274,-1.57079,0.21881,0.420688,125275.7,2.505947,125405.5,-1.69774,124593.3,1.032422,767.8109
1489082612.54,50.056,0.02,0.0,-1.57079,0.43762,-1.57079,0.87524,-2.03443,0.489274,-1.57079,0.21881,0.427402,125248.5,2.512783,125390.4,-1.69093,124594.0,1.037556,765.4738
1489082612.56,50.055,0.0,0.0,-1.24904,0.691938,-1.24904,1.383876,-2.03443,0.489274,-0.78539,0.309444,0.434631,125251.7,2.520125,125375.3,-1.68389,124597.4,1.041454,779.6333
1489082612.58,50.055,-0.00999,0.0,-1.57079,0.21881,-1.24904,1.383876,-2.03443,0.489274,0.0,0.21881,0.442489,125309.0,2.526547,125370.0,-1.67733,124580.9,1.092261,825.1296
1489082612.6,50.055,-0.01999,0.0,-1.57079,0.87524,-1.24904,1.383876,-2.03443,0.489274,-0.78539,0.309444,0.450249,125292.2,2.534644,125391.1,-1.66936,124612.2,1.097073,812.7959
1489082612.62,50.055,-0.01999,0.0,-1.57079,0.43762,-1.03037,1.275871,-1.81576,0.902177,0.0,0.0,0.456555,125269.7,2.541082,125368.2,-1.66312,124620.4,1.112161,816.8594
1489082612.64,50.055,-0.00999,0.0,-1.57079,0.65643,-1.10714,1.467822,-1.89254,0.691938,0.0,0.21881,0.463762,125283.0,2.548173,125389.4,-1.65594,124600.6,1.109668,812.7572
1489082612.66,50.056,0.01,0.0,-1.57079,0.43762,-1.10714,1.467822,-1.89254,0.691938,0.0,0.21881,0.470887,125282.1,2.555524,125367.5,-1.64873,124577.7,1.102161,820.9538
1489082612.68,50.056,0.01,0.0,-1.81576,0.902177,-1.37339,1.115716,-2.35618,0.309444,-0.78539,0.309444,0.478012,125277.5,2.562623,125378.7,-1.64177,124636.9,1.129478,825.2438
1489082612.7,50.055,0.0,0.0,-1.57079,0.65643,-1.19028,1.178328,-1.57079,0.65643,-1.57079,0.21881,0.485148,125316.0,2.57083,125426.5,-1.63406,124590.7,1.054434,815.9353
1489082612.72,50.055,0.0,0.0,-1.89254,0.691938,-1.32581,0.902177,-1.89254,0.691938,0.0,0.0,0.491217,125289.6,2.577422,125420.7,-1.62771,124639.4,1.064246,811.4541
1489082612.74,50.055,0.0,0.0,-1.57079,0.65643,-1.37339,1.115716,-2.35618,0.309444,-0.78539,0.309444,0.498568,125308.2,2.58446,125380.0,-1.62034,124581.3,1.069666,819.472
1489082612.76,50.055,-0.00999,0.0,-2.03443,0.489274,-1.10714,1.467822,-2.35618,0.309444,0.0,0.21881,0.506108,125299.7,2.591533,125413.1,-1.61361,124583.8,1.089909,831.3034
1489082612.78,50.055,-0.00999,0.0,-2.03443,0.489274,-1.19028,1.178328,-1.57079,0.65643,-1.57079,0.21881,0.513001,125284.0,2.598938,125389.5,-1.60606,124597.4,1.087101,817.0133
1489082612.8,50.055,0.0,0.0,-2.03443,0.489274,-1.19028,1.178328,-2.03443,0.489274,-1.57079,0.21881,0.520116,125327.1,2.605724,125429.8,-1.59915,124625.0,1.104636,814.8045
